user_id,course_id,is_click,is_enroll,user_rating,interaction_date
user_1,course~6byT1CWWEeW5pgpJEN0S6w,True,False,,2024-04-04
user_1,s12n~RjGZT9rFEeuf5xLDMIVlVQ,True,True,4.0,2024-08-07
user_1,course~V0c-hzoMEe-9Ig7qA4dB5w,False,False,,2024-03-24
user_1,course~uZZCOk-0Eei5shJ0GHcv-g,True,True,2.0,2024-03-05
user_1,course~SzQW47gfEeW2iwpbOuagWQ,True,True,1.0,2024-03-28
user_1,s12n~Zr7lPblmEemQRhI-rkeuOA,True,True,3.0,2024-07-14
user_1,s12n~fjGDnMZlEeeXjg6AlMYAgA,False,False,,2024-11-10
user_1,s12n~UT8uhrliEeqguArhbNj7XQ,False,False,,2024-07-02
user_1,s12n~JlR4RwHiEe2wYRKpXqH0rQ,False,False,,2024-12-22
user_1,course~HPabOEObEe-xLxIpRr2Opw,True,False,,2024-04-11
user_1,s12n~6iedSZaPSGyHPOYyzaU-2g,True,False,,2024-02-16
user_1,course~qbM9LpvmEemA0hKe-F0jpg,False,False,,2024-03-23
user_1,course~TvdumdPFEe2HUgoXSm74nw,False,False,,2024-11-10
user_1,s12n~lI_AonWQEemHcw4o4c-y2g,False,False,,2024-06-18
user_1,s12n~ngnV57djEeiKOw5SJXYV1A,True,True,3.0,2024-01-05
user_1,course~V2tYXNFWEe-3_Q7tYtYdfw,True,False,,2024-02-13
user_1,course~iL7Ll24lEeeWCg71xNIlJg,True,False,,2024-02-10
user_1,course~QYOONkPJEeuVrwrlQzvd6w,True,True,1.0,2024-05-24
user_1,s12n~3chNALu-EeWxahI1i_zTqQ,True,False,,2024-10-16
user_1,s12n~gaiPbW9_EeyYUA4D61ikrQ,False,False,,2024-02-10
user_1,s12n~i2ONOVXeEeuKfwqR7UVd4w,True,False,,2024-08-11
user_1,course~uYPONw9REeeYSwoRrxflRA,True,True,2.0,2024-09-07
user_1,s12n~0lTDLi0bEey5VQ4AdJWHJQ,False,False,,2024-12-31
user_1,s12n~VySIY6ofEeiGvwpvb2VtxA,True,False,,2024-01-07
user_1,course~oOeV8oRwEe-L8RKezlgehQ,True,True,1.0,2024-10-20
user_2,course~-nRRAPmuEeSndSIAC7LTLQ,False,False,,2024-09-30
user_2,course~erHBu8GyEemItQonjViPqA,False,False,,2024-04-10
user_2,course~VfuJSYYDEeW99gozy_2pgw,True,False,,2024-12-22
user_2,s12n~URf1Ec-lEeupRA6ghdIhRw,True,False,,2024-08-28
user_2,s12n~JlR4RwHiEe2wYRKpXqH0rQ,False,False,,2024-05-13
user_2,course~B403PyTlEe6wQA4DcxzwjQ,False,False,,2024-05-17
user_2,s12n~uC4qJnunEeuNzg4JnkHQ6Q,False,False,,2024-11-07
user_2,course~1vPJxy2WEe-MmBK4EgZ1qQ,True,False,,2024-12-09
user_2,course~wQ9FD3b0EeaahA7WQe-h_w,True,False,,2024-04-23
user_2,course~Qf73BjGjEeqIPQqRfoc3XQ,False,False,,2024-07-05
user_3,s12n~f7u1rFo5RCSIJSgtMmQHnA,True,False,,2024-11-28
user_3,s12n~n1ImdvjtEeqxGxK-m7YzLQ,False,False,,2024-11-26
user_3,course~ZEB-Lgp9Eeun_RJEc0KNDw,True,True,2.0,2024-12-30
user_3,s12n~C0OqBQWyEeawug5VyR7naQ,True,True,2.0,2024-01-12
user_3,s12n~l-LwwzNdEeyJAQoAQNSzoQ,True,False,,2024-07-03
user_3,course~YrbKHF42Eea2uw7FUMTxlQ,False,False,,2024-07-13
user_3,s12n~JLR4RpDVSa2MQ87dYBb62Q,True,False,,2024-05-20
user_3,course~KiBHguBOEemNmw4gGersHg,True,True,5.0,2024-01-25
user_3,s12n~MZerALwOEeymBRLup0TH0Q,False,False,,2024-06-12
user_4,course~DzG2FQIKEfCehwr_ziEUiw,False,False,,2024-12-23
user_4,s12n~hH2Oq8hfEemlrQoY9feCDg,True,False,,2024-08-02
user_4,course~9TRjTLOtEe-JHhL4HU-TUQ,False,False,,2024-06-10
user_4,course~50CbBIXOEeuuVxILgxt9Nw,False,False,,2024-08-03
user_4,course~4B7lX2rZEeqUZwrkS_2HfQ,False,False,,2024-06-30
user_4,course~E2noIXnEEeqAgA5qAtp8VQ,False,False,,2024-03-07
user_4,course~bKsbh83AEeu1Ewp6RcNw3w,False,False,,2024-04-10
user_4,course~jkQcra6zEeytqw64hz8ZCw,False,False,,2024-08-12
user_4,course~BRrPcqdAEeqnyg4TRzUbNQ,True,True,3.0,2024-02-26
user_4,s12n~t6l3z6DNEe22FA6n5qTJ4w,True,True,2.0,2024-06-18
user_4,course~-Y69EP9dEeSa0SIACyGBQw,True,False,,2024-08-04
user_4,course~Zhydwp6QEeeD8w6Puv0EuA,True,True,1.0,2024-05-23
user_4,s12n~bNw_OXWIQ-iB1WklCwtJ0w,False,False,,2024-08-11
user_4,course~rAlpSmWgEeenbhIEmtW1dA,True,False,,2024-11-11
